lp,NazwaAplikacji,NumerModelowy,Wlasciciel,CzasTworzenia,Budzet,LiczbaPobran,CzyAplikacjaJestPlatna,DataWydania,OstatniaAktualizacjaOprogramowania
263,Kanlam,2524857180,Issiah Benning,447 dni,46677 zł,3370458,true,3.2.2013,6.1.2021
264,Alphazap,2497122549,Katrina Theobold,286 dni,53429 zł,5631607,true,15.12.2012,1.2.2017
265,Zaam-Dox,3898455057,Lesly Addison,171 dni,40924 zł,5315538,false,3.12.2015,17.5.2020
266,Sonsing,6602779833,Lexi Taylorson,697 dni,17094 zł,4460247,true,13.5.2014,16.12.2016
267,Fixflex,9939605364,Nadya Dradey,505 dni,67045 zł,7220766,false,27.2.2015,2.4.2021
268,Sub-Ex,9558453834,Phillipp Cressy,809 dni,28161 zł,18657,true,3.4.2013,27.4.2017
269,Quo Lux,9598330263,Sergio Sackur,279 dni,79683 zł,2668773,false,30.7.2015,6.8.2018
270,Lotlux,6061943682,Dorry Criple,419 dni,67041 zł,3064375,false,6.10.2013,15.9.2017
271,Stringtough,7993689990,Cassaundra Bony,83 dni,5645 zł,8033120,false,15.11.2014,2.5.2022
272,Bigtax,4083731912,Cirillo Devereux,534 dni,9688 zł,1953500,false,15.10.2012,13.2.2016
273,Konklab,9597587672,Reina Andretti,25 dni,97921 zł,2958573,false,11.5.2013,20.9.2017
274,Overhold,1140000481,Dene Bartlomieczak,286 dni,10423 zł,6033679,false,17.11.2014,25.4.2020
275,Overhold,2783579622,Wynn Chittenden,852 dni,36459 zł,2026852,true,26.4.2014,23.4.2022
276,Bitchip,2859615390,Melania Cossons,79 dni,34262 zł,3301650,true,20.6.2013,12.11.2020
277,Y-Solowarm,6967816901,Karel Roofe,91 dni,58615 zł,6637648,true,7.1.2015,4.11.2022
278,Konklux,1283177996,Kathi Paten,708 dni,73579 zł,9150293,true,11.12.2013,5.7.2017
279,Rank,2564574723,Angeline Treamayne,173 dni,13069 zł,9116219,false,12.4.2014,14.6.2022
280,Sub-Ex,9427950670,Augusto Arenson,257 dni,68952 zł,7229507,false,8.6.2014,17.5.2021
281,Domainer,8463237479,Sigfried Tidgewell,811 dni,85772 zł,8618534,true,29.8.2013,20.7.2017
282,Tampflex,6530082051,Ingmar Tatford,81 dni,58750 zł,2973167,true,21.2.2015,23.5.2018
283,Alpha,637025063,Wylma Booley,423 dni,391 zł,3095323,true,10.2.2013,16.1.2022
284,Matsoft,9146398529,Nickolas Noods,437 dni,3519 zł,3192726,false,5.11.2012,31.10.2017
285,Trippledex,7145376621,Philippine Winterflood,487 dni,59222 zł,5981314,false,15.11.2015,29.11.2021
286,Kanlam,4579016225,Jehanna Rissom,845 dni,48607 zł,7203193,false,5.1.2014,5.6.2016
287,Domainer,461855806,Kennie Dine-Hart,888 dni,98398 zł,1031418,false,13.6.2014,30.11.2018
288,Aerified,1912370633,Joaquin Strainge,337 dni,39078 zł,1867108,true,9.4.2015,14.4.2017
289,Flexidy,5769128412,Burnard Petty,751 dni,13540 zł,9175626,false,3.11.2012,9.3.2020
290,Cardguard,3265124330,Lane Fullstone,197 dni,92142 zł,7693657,true,1.12.2015,12.6.2020
291,Cookley,6021267730,Fiorenze De Morena,810 dni,6097 zł,7640078,false,3.10.2013,7.3.2021
292,Latlux,3099250491,Rutter Brameld,460 dni,14646 zł,6307547,true,24.3.2013,4.10.2021
293,Lotlux,7959608507,Major Mandrake,233 dni,39503 zł,8937745,true,18.2.2013,7.8.2016
294,Pannier,95976308,Tamqrah Spencers,603 dni,72606 zł,861728,false,7.7.2013,17.6.2021
295,Zontrax,4043802873,Rodi Edmead,178 dni,9111 zł,8133896,true,9.1.2013,13.1.2022
296,Daltfresh,5186055933,Hamid Trime,40 dni,69181 zł,5131166,true,2.8.2014,9.5.2017
297,Subin,1127123413,Ina Abisetti,627 dni,53756 zł,2095434,false,12.10.2012,1.6.2022
298,Voyatouch,3488242873,Tommi Elwood,199 dni,37545 zł,9915639,false,31.8.2015,12.6.2020
299,Temp,9316964165,Cammie Ethridge,9 dni,43397 zł,8828649,false,29.1.2014,4.3.2016
300,Sub-Ex,4903236061,Sorcha Curtiss,329 dni,8273 zł,8118111,true,7.6.2014,26.7.2018
301,Viva,5324707499,Nellie Treasaden,428 dni,17805 zł,1284263,true,10.8.2014,16.12.2020
302,Overhold,2493106013,Sammie Bratten,678 dni,54610 zł,3408992,false,27.12.2014,12.6.2021
303,Zaam-Dox,5395068323,Torrance Greedier,882 dni,90079 zł,8342401,false,23.9.2015,20.8.2017
304,Trippledex,4589606444,Corabelle Tedorenko,352 dni,72693 zł,6149256,false,13.10.2013,14.3.2020
305,Holdlamis,6535657627,Felipa McAw,709 dni,10480 zł,3766579,true,3.3.2015,26.5.2021
306,Stim,2598124135,Benoit Luppitt,517 dni,86687 zł,1810867,false,27.4.2014,23.9.2018
307,Ronstring,2200039504,Hettie Carbry,32 dni,40631 zł,128055,true,1.7.2013,8.1.2016
308,Ventosanzap,6213254670,Sissy Searl,246 dni,7433 zł,602296,true,2.7.2014,22.2.2016
309,Bamity,6718331013,Frank Greest,194 dni,63951 zł,6893906,true,22.2.2015,5.2.2019
310,Fintone,5541596480,Dasi Seares,780 dni,53855 zł,5540256,true,5.12.2014,1.12.2019
311,Rank,3804685668,Augustina Cusack,232 dni,7515 zł,6814301,true,3.11.2015,16.10.2018
312,Tresom,184858816,Otis McMeanma,340 dni,12017 zł,4635288,true,9.3.2014,20.6.2018
313,Prodder,9886533805,Harman Curran,19 dni,61536 zł,2071851,true,18.8.2014,19.9.2016
314,Quo Lux,5901865084,Meryl Yosselevitch,103 dni,78764 zł,1816697,true,3.9.2013,30.7.2021
315,Bamity,4653970124,Dennis Kilborn,581 dni,42181 zł,1857346,false,21.8.2013,25.7.2019
316,Voyatouch,4870887026,Betti Brunel,326 dni,62852 zł,998081,false,21.2.2014,14.4.2016
317,Konklux,5441829527,Florette Hebard,636 dni,2252 zł,9283073,false,26.11.2013,17.6.2022
318,Wrapsafe,2904463353,Chrissie Lowdwell,89 dni,96819 zł,7231590,true,23.2.2014,4.6.2017
319,Otcom,5791306565,Brian Simanek,33 dni,21325 zł,8436169,true,16.8.2014,4.7.2017
320,Job,8924221964,Nertie Eastwood,156 dni,84044 zł,5086781,false,5.12.2015,5.11.2021
321,Y-find,8898921836,Corissa Cuddihy,89 dni,51516 zł,8340261,true,9.1.2013,3.5.2022
322,Alpha,5558948818,Patricio Maffy,841 dni,29228 zł,9124833,false,1.6.2015,6.2.2017
323,Span,5997394289,Dorisa Pargent,724 dni,61916 zł,2029595,false,17.2.2013,23.12.2019
324,Stim,8048082502,Odille Opy,543 dni,99465 zł,2023655,true,10.11.2015,3.5.2021
325,Bitchip,2450391364,Perren Madders,160 dni,2679 zł,6735954,true,31.10.2014,26.1.2018
326,Bitchip,6979648690,Adrienne Loosley,675 dni,57245 zł,1277769,true,10.10.2013,27.6.2020
327,Toughjoyfax,1703580918,Tait Beard,186 dni,75258 zł,7272547,false,10.3.2014,13.1.2017
328,Alphazap,7452803588,Phoebe Henkens,557 dni,36710 zł,7658546,false,13.4.2013,27.2.2020
329,Vagram,2353975959,Enrique Reolfo,294 dni,29115 zł,5417570,false,15.7.2014,5.4.2020
330,Keylex,3718203546,Cyndi Ablewhite,6 dni,18263 zł,4232545,false,1.5.2014,7.3.2021
331,Cardguard,3330286970,Bengt Kilgallon,151 dni,80592 zł,3255936,true,8.6.2013,13.11.2017
332,Konklab,632698206,Mildrid Smoughton,876 dni,84039 zł,2374530,false,15.11.2012,15.12.2021
333,Bamity,4888729634,Allys Aizikov,160 dni,15323 zł,2538894,true,24.7.2015,28.8.2020
334,Prodder,1031460286,Hazel Tremayle,619 dni,33960 zł,2676952,true,11.6.2015,26.8.2018
335,Otcom,3047001005,Melosa Allaker,173 dni,78260 zł,553149,false,19.5.2014,7.12.2021
336,Domainer,705344982,Sumner Nairne,213 dni,81893 zł,4013491,false,17.10.2015,6.9.2019
337,Bamity,3728304788,Duffy Hempshall,624 dni,59862 zł,5957040,true,19.3.2015,18.6.2018
338,Kanlam,6010253804,Krisha Hayes,682 dni,11635 zł,104288,false,10.2.2013,15.9.2018
339,Bamity,5179507041,Salvatore Vreiberg,732 dni,3218 zł,8683357,false,17.6.2014,24.10.2019
340,Tempsoft,8494497426,Neysa Blanc,229 dni,75800 zł,7954127,false,20.2.2014,1.1.2017
341,Flowdesk,102810786,Yurik Hamill,794 dni,76505 zł,6397866,false,21.8.2012,8.4.2021
342,It,4608118750,Dorene Benbrick,886 dni,20802 zł,9369035,true,24.6.2015,21.4.2021
343,Daltfresh,904358150,Dickie Bligh,5 dni,53386 zł,9101658,true,10.3.2015,13.4.2016
344,Solarbreeze,4490976600,Layla Buston,776 dni,65299 zł,2005784,false,26.3.2013,31.3.2016
345,Stronghold,4815883480,Tanner Blyden,870 dni,11913 zł,2874236,false,5.2.2014,7.6.2018
346,Vagram,4585741333,Moyra Whitton,249 dni,47798 zł,3242380,true,3.5.2014,16.10.2022
347,Zaam-Dox,5326893982,Andras Lilliman,322 dni,3501 zł,2363601,true,2.3.2015,7.6.2018
348,Bigtax,8591818171,Robyn Marcone,781 dni,45743 zł,1473706,false,27.10.2012,11.1.2020
349,Overhold,8737009199,Conney Swan,576 dni,18121 zł,6781558,true,29.7.2013,10.9.2020
350,Lotstring,5694621729,Lindy Barwise,722 dni,96848 zł,2396319,true,17.11.2012,21.4.2016
351,Domainer,1769515037,Robyn Cuss,179 dni,84392 zł,1967483,false,21.9.2013,23.4.2017
352,Treeflex,2437342268,Ailbert Akister,536 dni,16699 zł,1107570,true,13.1.2015,5.3.2022
353,Andalax,2674926666,Alon Almon,558 dni,39409 zł,1079158,false,14.12.2013,12.8.2021
354,Subin,699572762,Anderea Shinefield,15 dni,91245 zł,3141221,true,24.5.2014,7.8.2016
355,Ronstring,3064598346,Joellyn Winsley,153 dni,11061 zł,6452186,false,25.4.2014,4.1.2022
356,Duobam,2007471588,Lanie Kesper,598 dni,16733 zł,5114777,false,6.10.2015,25.3.2019
357,Kanlam,6839696444,Austin Galfour,836 dni,35510 zł,9509059,false,18.10.2014,16.10.2022
358,Lotlux,2157256760,Anica Kleewein,2 dni,41272 zł,9053037,true,7.12.2013,6.3.2021
359,Home Ing,392056532,Saba Yanuk,469 dni,30517 zł,6521831,true,30.6.2015,29.5.2017
360,Andalax,1953454999,Salomi Parkins,642 dni,70999 zł,3928865,true,2.5.2013,24.11.2017
361,Sub-Ex,555179665,Isadore Tevelov,588 dni,94759 zł,844433,true,25.1.2015,19.5.2021
362,Kanlam,3693990881,Gonzalo Braniff,81 dni,898 zł,6706650,true,18.9.2013,25.11.2021
363,Treeflex,4406452703,Quintina D'Oyly,641 dni,61950 zł,1075975,false,23.11.2013,15.10.2020
364,Lotstring,3812198312,Lorrayne De Hooge,756 dni,71828 zł,7726766,false,25.1.2014,22.7.2021
365,Ronstring,810015211,Bobbi McEwen,20 dni,41189 zł,2553646,true,28.3.2015,12.4.2016
366,Ronstring,8455384845,Roarke Exter,581 dni,11437 zł,9149696,true,3.1.2015,24.2.2021
367,Trippledex,455303257,Susan Tomowicz,776 dni,84850 zł,8815769,true,8.9.2014,12.2.2022
368,Keylex,3524748239,Cordula Pearse,354 dni,93939 zł,150271,true,31.10.2015,9.12.2019
369,Biodex,7798589373,Quinta Follan,807 dni,56419 zł,2507745,true,31.1.2015,9.5.2017
370,Alpha,7335092042,Clarine Leale,130 dni,91029 zł,8857104,false,21.2.2015,28.7.2019
371,Overhold,4512674130,Paton Fernely,58 dni,3606 zł,4004814,true,28.11.2013,30.12.2015
372,Cardguard,288047413,Leshia Huddy,720 dni,28520 zł,6824926,true,14.3.2013,1.11.2019
373,Kanlam,3185157097,Eden Kilroy,50 dni,94024 zł,2117603,true,7.12.2015,11.9.2017
374,Subin,9725869947,Clint Sang,847 dni,98653 zł,4230030,false,24.12.2012,10.9.2020
375,Quo Lux,9699299076,Vito Laweles,498 dni,23082 zł,6140352,true,4.7.2013,26.3.2021
376,Tin,656507919,Teena Codrington,729 dni,85163 zł,3414510,false,4.9.2013,21.3.2022
377,Redhold,1739669817,Drusi Ley,282 dni,22841 zł,1871223,true,13.8.2015,10.11.2020
378,Fintone,3195613482,Etta Hawkey,286 dni,80893 zł,3541340,true,10.7.2015,6.9.2018
379,Sub-Ex,446766301,Richmond Leiden,862 dni,97401 zł,715145,true,28.11.2013,9.8.2022
380,Daltfresh,7130927247,Isidro Jenson,317 dni,91505 zł,9469581,true,10.10.2012,28.7.2017
381,Latlux,567956405,Gregorius Fesby,567 dni,50664 zł,5311864,true,12.10.2015,30.11.2016
382,Konklab,9914278133,Verge Gajewski,252 dni,84659 zł,6931817,false,19.12.2013,15.7.2018
383,Home Ing,8304670552,Tome Liversidge,295 dni,49306 zł,5238643,true,6.12.2012,5.9.2016
384,Fintone,2978416447,Alfi Balcombe,5 dni,268 zł,4428664,false,23.5.2015,13.5.2019
385,Domainer,258696679,Hardy Dunkley,869 dni,83991 zł,7977908,true,4.12.2012,7.8.2021
386,Bitwolf,9160627641,Paddy Bothwell,286 dni,13782 zł,7174608,true,13.5.2013,15.1.2018
387,Job,1310087298,Alley Costock,465 dni,67776 zł,7608064,true,17.1.2014,29.12.2021
388,Zamit,2253871237,Niles Clayson,595 dni,68932 zł,2754635,true,19.10.2014,4.11.2017
389,Job,2212948817,Laurene Brozsset,87 dni,8057 zł,7696269,true,9.2.2014,13.11.2020
390,Cookley,3966140597,Catrina Derington,815 dni,75620 zł,857020,true,6.2.2013,12.9.2018
391,Sonair,3789376251,Ralph Hughlin,594 dni,98057 zł,9207124,false,29.8.2013,15.7.2017
392,Stronghold,4556455996,Haily Donizeau,854 dni,27598 zł,4930318,true,28.2.2014,21.12.2016
393,Bitwolf,9821839292,Eduardo Elmhirst,619 dni,29294 zł,1122280,false,8.12.2014,10.1.2020
394,Gembucket,2805913172,Tasha Malec,189 dni,47616 zł,7714691,false,13.7.2015,6.3.2019
395,Hatity,6691363391,Cam Ourry,461 dni,76495 zł,4589754,true,2.6.2015,16.4.2016
396,Aerified,5446464747,Mack Swatton,858 dni,61299 zł,471462,false,2.1.2015,19.9.2021
397,Voyatouch,9519304232,Lane Toffano,888 dni,92444 zł,4386588,true,7.7.2013,17.7.2020
398,Y-Solowarm,4141751602,Sidonnie Ayrton,629 dni,9610 zł,4309803,true,4.11.2012,18.8.2018
399,Voyatouch,9203442242,Annetta Whitford,55 dni,69711 zł,1715415,true,21.4.2015,6.1.2018
400,Wrapsafe,1493902990,Doti Notton,641 dni,54723 zł,4706702,false,4.11.2013,11.7.2022
401,Pannier,2748384112,Gretel Ever,402 dni,41960 zł,7659019,true,20.8.2014,10.2.2019
402,Sub-Ex,5543748373,Dayna Harrod,509 dni,69082 zł,9137405,false,9.10.2015,8.8.2017
403,Temp,6110322658,Ellie Sammut,484 dni,84221 zł,1573777,true,15.12.2014,10.2.2022
404,Flowdesk,9096089663,Stuart McOwen,659 dni,53893 zł,7427206,false,20.7.2014,22.9.2018
405,Pannier,9197002535,Dani Petrichat,814 dni,46470 zł,2641187,true,6.9.2014,25.5.2022
406,Aerified,6301171041,Adlai Clawson,583 dni,2333 zł,5497780,false,16.5.2014,13.4.2022
407,Bamity,779249467,Nara Sweeten,715 dni,92230 zł,2042478,false,20.2.2015,30.3.2017
408,Subin,3654790157,Wanids Pickless,701 dni,54391 zł,5685152,true,4.2.2014,12.5.2019
409,Domainer,6175317035,Paulo Fairbanks,782 dni,23337 zł,2945990,false,17.9.2014,16.5.2020
410,Zoolab,588992726,Roby Foster,612 dni,71769 zł,2479947,false,26.12.2013,10.12.2020
411,Zaam-Dox,9597722546,Hugo Storkes,433 dni,56006 zł,2955421,true,4.4.2013,10.8.2019
412,Bigtax,1759816443,Adrian Doree,800 dni,4796 zł,3825627,true,24.4.2013,25.5.2016
413,Lotlux,6186308434,Jaye Rosson,879 dni,13879 zł,7238127,false,19.8.2012,12.9.2019
414,Zaam-Dox,1877793088,Perren Neilson,819 dni,43968 zł,5359301,false,6.8.2013,11.7.2020
415,Cardguard,1391237589,Evita Mitham,182 dni,43238 zł,7453269,false,29.4.2014,8.9.2018
416,Trippledex,7188753363,Barnett Brickell,494 dni,85563 zł,7463155,false,9.9.2014,16.2.2018
417,Namfix,9625555652,Tabbie Quade,746 dni,85845 zł,9777094,true,17.5.2014,26.8.2019
418,Subin,5870945608,Lewes De Caroli,443 dni,67573 zł,4568985,false,20.5.2013,14.8.2017
419,Overhold,8722944116,Kassie Vittle,822 dni,35260 zł,3100497,false,28.3.2013,22.9.2017
420,Stronghold,4383939195,Angus Kubecka,15 dni,21947 zł,5249255,true,27.11.2012,16.7.2021
421,Biodex,4130324140,Tanney Lomis,144 dni,66985 zł,7490587,false,4.9.2012,20.12.2017
422,Sonsing,8661088886,Delly Demke,36 dni,18166 zł,3734334,false,21.9.2015,9.5.2017
423,Flowdesk,3857720326,Atlanta Barnshaw,478 dni,71038 zł,5280282,false,14.11.2013,3.12.2018
424,Quo Lux,3010210364,Grazia Calleja,67 dni,87067 zł,5319249,true,21.3.2014,18.2.2017
425,Subin,5366864643,Oriana Dorricott,866 dni,97796 zł,4457045,false,23.6.2014,31.1.2022
426,Fix San,3867879590,Dagmar Bauman,692 dni,69391 zł,3660538,true,10.10.2015,29.5.2021
427,Job,3736961166,Loree De Caroli,795 dni,68045 zł,4521006,true,1.10.2015,22.8.2021
428,Sonsing,2392991525,Katine Rooksby,592 dni,85820 zł,3346998,false,2.12.2012,4.1.2022
429,Bitchip,3759005602,Giuseppe Montacute,778 dni,87527 zł,1597111,false,24.7.2013,26.9.2016
430,Stronghold,2535471219,Ofelia Guitton,551 dni,62782 zł,9278768,false,17.3.2013,1.9.2021
431,Holdlamis,9133187170,Selma Domotor,851 dni,25960 zł,8369492,true,6.8.2013,12.4.2022
432,Zamit,5104925906,Paton Kleeman,665 dni,83091 zł,438826,false,11.1.2015,6.2.2018
433,Asoka,2684630933,Rudolph McGibbon,632 dni,31947 zł,6190522,true,19.7.2015,18.8.2021
434,Kanlam,8925284067,Kizzie Farloe,834 dni,52575 zł,1657915,true,21.6.2013,7.2.2019
435,Lotlux,9233666053,Erek Mallender,302 dni,11358 zł,1247269,false,21.6.2013,17.7.2016
436,Zoolab,4193360824,Carola Frere,229 dni,93235 zł,8155376,false,19.7.2013,24.2.2018
437,Fintone,6287656159,Miof mela Smurfit,331 dni,36377 zł,3347260,true,16.5.2013,5.4.2019
438,Tres-Zap,829476264,Collin Wornham,403 dni,60173 zł,2056739,true,8.1.2015,14.7.2016
439,Voyatouch,7113848182,Jilleen Birdwhistle,133 dni,30881 zł,3709899,true,22.3.2014,23.7.2017
440,Aerified,5676916144,Charisse Jeffcoat,416 dni,27582 zł,5145360,true,7.10.2014,31.1.2018
441,Holdlamis,1051970651,Ibbie Bulfoot,653 dni,85690 zł,9355640,false,13.6.2015,16.10.2019
442,Bytecard,5889921635,Zea Girkin,60 dni,33255 zł,843589,true,28.8.2013,15.1.2019
443,Bitwolf,1800440863,Faustine Elam,335 dni,42942 zł,2065271,false,20.7.2014,15.8.2016
444,Lotlux,1238506952,Heall Chester,467 dni,52536 zł,5243047,true,26.6.2013,1.9.2020
445,Voltsillam,751289046,Karee McGann,14 dni,24423 zł,1534190,false,14.3.2013,22.3.2022
446,Hatity,5951696580,Elie Fay,866 dni,50717 zł,9080206,true,23.8.2013,23.2.2019
447,Bitchip,4367146115,Anderea Postlewhite,490 dni,89133 zł,1081143,true,7.5.2015,14.2.2019
448,Quo Lux,7473549515,Belvia Bugg,159 dni,81288 zł,2941786,false,3.9.2013,27.4.2017
449,Stringtough,9137892823,Otto Eirwin,706 dni,13783 zł,5662736,false,25.12.2013,12.5.2019
450,Konklab,8058086322,Nariko Melendez,142 dni,49973 zł,4952743,true,18.3.2014,9.5.2019
451,Voltsillam,8909371965,Clare Sotheron,754 dni,51297 zł,9177073,false,5.4.2013,15.11.2016
452,Hatity,9459796867,Dix Gammett,818 dni,64799 zł,5752397,true,5.7.2014,4.2.2016
453,Temp,7830212374,Wilden Stancliffe,802 dni,66656 zł,7780057,false,15.7.2013,11.5.2021
454,Redhold,3778225717,Charley Challender,758 dni,20662 zł,2309974,true,10.7.2013,30.10.2020
455,Prodder,9517194970,Aundrea Raselles,647 dni,39521 zł,5185352,true,25.12.2012,3.1.2019
456,Job,5652621809,Nicoline Burhouse,173 dni,92089 zł,9562941,true,23.4.2013,9.8.2019
457,Home Ing,180533091,Marje Lartice,598 dni,11473 zł,759731,true,29.5.2014,9.5.2017
458,It,7794076165,Antone Abelson,634 dni,75830 zł,1647789,false,18.5.2014,7.6.2018
459,Rank,9489853146,Alma Hendriks,501 dni,30125 zł,3819331,false,3.11.2013,15.1.2021
460,Namfix,5759884740,Rosy Tilly,227 dni,98987 zł,4458702,false,25.2.2013,15.9.2020
461,Span,6500328693,Horst Eccersley,813 dni,11636 zł,1871435,false,14.9.2015,23.4.2019
462,Zathin,5197333523,Yankee Parkman,421 dni,95980 zł,4818316,true,12.9.2014,26.2.2016
463,Duobam,9030914209,Alix Morbey,304 dni,19506 zł,8064308,false,28.4.2015,25.1.2016
464,Lotlux,7005645680,Mirella De La Haye,30 dni,20578 zł,8898160,true,1.8.2014,26.4.2022
465,Sonair,6551571782,Gradeigh Gouinlock,486 dni,92919 zł,9568456,false,4.3.2015,18.2.2018
466,Flowdesk,2054396103,Bunni Eastham,606 dni,51787 zł,2058981,true,3.5.2015,28.10.2016
467,Overhold,2707897374,Nicolis Dregan,222 dni,55933 zł,3294924,true,17.5.2015,12.3.2019
468,Stronghold,7163610024,Thomasina Drysdall,587 dni,81426 zł,4399192,false,28.9.2014,7.6.2021
469,Daltfresh,3186780799,Fred Monument,810 dni,52485 zł,6703610,false,31.8.2012,8.1.2018
470,Zoolab,506097706,Fulvia Blaby,165 dni,37775 zł,4133547,true,3.6.2013,14.4.2016
471,Cardify,3732195273,Alissa Vosper,644 dni,17350 zł,5323164,true,11.8.2012,14.3.2022
472,Sonsing,6575992588,Prinz Spurman,379 dni,28890 zł,3436670,false,15.1.2014,14.2.2020
473,Home Ing,9273140369,Gates Robertazzi,299 dni,1733 zł,5368628,false,18.6.2013,10.9.2022
474,Kanlam,1564033838,Boot Blackburne,669 dni,90351 zł,2240332,false,21.5.2014,12.6.2021
475,Bitchip,6614671052,Brandon Craxford,297 dni,79668 zł,2309100,false,15.9.2014,4.5.2020
476,Vagram,5816902566,Jordan Austins,174 dni,73392 zł,5740472,false,24.9.2012,14.10.2021
477,Y-find,5684826428,Lana Simkin,537 dni,20743 zł,6480165,true,24.3.2014,5.5.2016
478,Hatity,5654534544,Lloyd Elcocks,580 dni,51972 zł,9278606,false,3.10.2015,2.4.2019
479,Bitchip,2125224233,Anton Selborne,818 dni,37941 zł,3979035,true,12.2.2015,3.1.2018
480,Tres-Zap,3031092905,Feodor Waight,218 dni,13236 zł,6477220,false,3.5.2013,23.11.2020
481,Lotstring,6790470394,Brittne Satchel,283 dni,94801 zł,9427593,true,1.5.2013,17.6.2021
482,Fixflex,7886435099,Dannye McGeachy,291 dni,73523 zł,6437450,false,12.9.2015,10.10.2021
483,Span,8061159053,Timmy Jedrachowicz,433 dni,18271 zł,5578147,false,5.1.2015,26.6.2019
484,Alphazap,4968215404,Davidson Waterdrinker,569 dni,67828 zł,5500139,true,27.8.2012,27.5.2018
485,Voltsillam,8528206825,Sonnie Pattrick,833 dni,74634 zł,2014775,false,18.9.2013,7.10.2016
486,Domainer,4861850562,John Itter,458 dni,74348 zł,8921401,true,26.6.2013,30.3.2022
487,Flowdesk,6126873524,Rory Lea,12 dni,92071 zł,1744476,true,26.3.2013,6.4.2022
488,Gembucket,2852653652,Tybie Falck,24 dni,28595 zł,7719672,true,20.1.2015,6.12.2016
489,Tin,9788102931,Ailina Rallinshaw,873 dni,70042 zł,5286859,true,5.2.2013,24.3.2022
490,Y-find,3505516836,Ida Dudley,335 dni,45033 zł,1712840,false,17.5.2014,5.5.2018
491,Toughjoyfax,4809810671,Dicky Alekseev,150 dni,89059 zł,3904770,true,23.10.2015,11.8.2021
492,Ventosanzap,6556298264,Marcy Cash,296 dni,86347 zł,4761506,false,4.11.2012,20.9.2016
493,Tin,8438661055,Cyril Devaney,400 dni,55256 zł,3870861,true,16.11.2012,14.12.2020
494,Zaam-Dox,8392366804,Gerladina Baylie,642 dni,65803 zł,9922599,false,6.8.2013,18.3.2016
495,Keylex,9297431047,Ximenez Offner,369 dni,33419 zł,1533411,false,13.4.2014,14.9.2016
496,Voyatouch,3849246278,Orson Fewster,222 dni,6671 zł,7266794,false,15.10.2012,13.3.2022
497,Trippledex,2905488684,Irvine Seward,788 dni,58112 zł,1514210,false,4.9.2013,12.11.2020
498,Stim,2291128930,Maurene Murie,247 dni,6701 zł,4556314,false,3.12.2013,25.1.2019
499,Gembucket,8140727414,Sashenka Prudence,112 dni,7337 zł,4629032,false,4.3.2014,21.8.2022
500,Matsoft,125708361,Geneva Rojahn,278 dni,54556 zł,3301583,false,25.6.2013,1.10.2016
501,Asoka,8500359721,Janel Maevela,758 dni,18100 zł,9098483,true,18.10.2015,19.12.2020
502,Alpha,1613139377,Griffin Collecott,526 dni,58032 zł,3614814,true,20.7.2015,23.5.2019
503,Hatity,5827523897,Carr Kertess,299 dni,44156 zł,3575575,true,18.6.2013,12.3.2019
504,Fintone,6830258906,Alyson Clowney,483 dni,6851 zł,671283,false,2.12.2012,17.3.2019
505,Bamity,8012462327,Malia Dutt,884 dni,94843 zł,3408876,true,20.12.2014,31.8.2021
506,Bytecard,1053766761,Thalia Decayette,103 dni,81040 zł,4168363,false,10.11.2015,21.11.2017
507,Ventosanzap,4657984257,Hammad Bottby,311 dni,32188 zł,349769,true,17.10.2012,27.7.2018
508,Viva,3881829915,Josi Lawlance,534 dni,58331 zł,755975,false,10.11.2014,6.11.2022
509,Viva,5683035082,Aubry Malzard,860 dni,79208 zł,3191981,false,2.11.2014,19.5.2016
510,Cardify,6695471057,Elmer Bealton,204 dni,35006 zł,1911015,false,29.11.2013,23.5.2016
511,Zathin,4113198009,Lola Faucherand,562 dni,74371 zł,9165255,true,3.5.2014,23.9.2017
512,Bigtax,1664072090,Skipper Jago,76 dni,21766 zł,9365832,false,22.9.2014,25.8.2020
513,Gembucket,5394972688,Josias Donati,110 dni,90340 zł,2463297,true,29.8.2014,12.8.2020
514,Ronstring,1943042432,Nanni Rowsell,541 dni,19441 zł,7344320,true,3.12.2014,28.4.2019
515,Tempsoft,363906743,Constancia Ofen,619 dni,78426 zł,2073613,true,27.8.2013,7.1.2016
516,Greenlam,8661123911,Richard Aldersea,639 dni,11684 zł,2134959,true,1.9.2015,30.10.2020
517,Redhold,3737885596,Derry Spencelayh,787 dni,86672 zł,1730020,true,21.4.2013,14.12.2019
518,Span,4413056644,Britney Worrill,601 dni,24743 zł,7147645,true,27.5.2014,30.3.2019
519,Flowdesk,1212609432,Hurley Ellsom,411 dni,96354 zł,8728801,true,24.10.2013,14.6.2022
520,Temp,6139600137,Jacki Weatherburn,863 dni,82692 zł,3879402,false,5.12.2014,2.10.2018
521,Otcom,3042455378,Rayner Dwelly,238 dni,57259 zł,4566885,true,31.3.2013,25.7.2017
522,Biodex,575350296,Zabrina Oris,187 dni,32171 zł,6748770,true,27.3.2013,16.10.2019
523,Stringtough,8511332486,Alis Luxon,816 dni,52603 zł,2665332,false,9.5.2013,3.10.2016
524,Tres-Zap,1025508384,Traci Fairley,122 dni,63815 zł,4187365,false,25.7.2013,1.7.2019
525,Zontrax,6135271184,Carly Spellecy,625 dni,77931 zł,6295835,false,3.10.2015,20.9.2018
526,Pannier,2052790079,Cordie Bogey,850 dni,2413 zł,542765,false,17.4.2015,10.2.2017
